Item,Ingredients,Price,Vegetarian,Vegan,DAIRY FREE,GLUTEN FREE,SOY FREE,SESAME FREE,GARLIC FREE,ONION FREE,CAPSICUM FREE,CHILI FREE,PISTACHIO FREE,WALNUT FREE,ALMOND FREE,PEANUT FREE,TREE NUT FREE,EGG FREE,FISH FREE,SHELLFISH FREE,WHEAT FREE,MUSTARD FREE,SULFITE FREE,CELERY FREE,LUPIN FREE,MOLLUSC FREE
Hummus,"Sea Salt, Cumin Ground, Chickpea, Baking Soda, Tahini, Lemon Juice, Garlic, Coriander, Green Chili, Parsley, Rapeseed Oil, Black Lime, Olive Oil",,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Lor Cheese,"Milk, Milk Solids, Cream (Milk), Probiotic Cultures (Lactobacillus acidophilus and Bifidobacterium), Sea Salt, Sesame Seed Black, Sumac, Porcini Mushroom",,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Date Labneh,"Milk, Milk Solids, Cream (Milk), Probiotic Cultures (Lactobacillus acidophilus and Bifidobacterium), Dried Dates, Sea Salt, Orange, Olive Oil, Cardamom, Lemon Juice",,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Taramasalata,"Cod Roe, Aleppo Chili, Lemon Juice, Focaccia, Canola Oil, Black Garlic, Fennel Fronds, Lime Olive Oil, Fine Salt",,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES
Muhammara,"Pomegranate Molasses, Sugar, Sulphites, Glucose, Cornstarch, Salt, Acidity Regulator (Citric Acid), Rice Flour, Tapioca Flour, Sunflower Oil, Ground Linseed, Raising Agent (450,500), Apple Cider Vinegar, Stabiliser (412), Yeast, Iodised Salt, Phytocel (Dietary Fibre), Walnuts, Paprika, Aleppo Chili Pepper, Tahini, Lemon Juice, Red peppers, Vinegar, Firming agent (Calcium Chloride), Rapeseed Oil, Parsley, Nigella Seed, Olive Oil",,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES
Green Zhug,"Coriander Seed, Cumin, Green Chilli, Garlic, Lemon Juice, Italian Parsley, Rapeseed Oil, Salt",,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Ezmesi,"Tomato Paste, Tinned Tomato, Green Chilli, Red Chilli, Italian Parsley, Mint, White Onion, Red Capsicum, Paprika Smoked, Sea Salt, Lemon Juice, Tinned Pepper, Rapeseed Oil",,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Pita,"Castor Sugar, Sea Salt, Yeast, Stoneground White Flour, Stoneground Wholemeal Spelt Flour",,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
Sourdough Flatbread,"Stoneground Wholemeal Spelt Flour, Stoneground White Flour, Yeast, Sea Salt, Milk, Red Chili, Castor Sugar, Garlic, White Vinegar, Butter, Chicken, Carrots, Celery, Cabbage, Onion, Parsley, Sage extract, Natural antioxidant, Rosemary extract, Salt, Sugar, Glucose, Yeast extract, Xanthan Gum, Red chilli, Acidity Regulator (Acetic acid), Preservative (Sodium benzoate), Sesame Seed White, Sesame Seed Black, Italian Parsley",,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES
Yufka,"Maize Starch, Modified Starch (1422), Rice Flour, Raising Agents (450, 500), Soya Flour, Rapeseed Oil, Fine Salt, Water",,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
