Element,Ingredients,Price,Vegetarian,Vegan,DAIRY FREE,GLUTEN FREE,SOY FREE,SESAME FREE,GARLIC FREE,ONION FREE,CAPSICUM FREE,CHILI FREE,PISTACHIO FREE,WALNUT FREE,ALMOND FREE,PEANUT FREE,TREE NUT FREE,EGG FREE,FISH FREE,SHELLFISH FREE,MUSTARD FREE,SULFITE FREE,CELERY FREE,LUPIN FREE,MOLLUSC FREE,HALAL,NIGHTSHADE FREE
Rosemary focaccia,"Salt, Yeast, Water, Flour, Rosemary, Sea salt, Extra Virgin Olive Oil",,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
"Baccalà Mantecato, crostino, lemon","Bay Leaves, Whole Peppercorn, Salt, Cod, Garlic Cloves, Sunflower Oil, Extra Virgin Olive Oil, Milk, Lemon, Water, Salt, Flour, Yeast, Olive oil",,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES
"Arancini – Cacio Pepe, pecorino, cheese espuma","Arborio Rice, New York Pepper, Sea Salt, White Wine Vinegar, Sheeps Milk, Salt, Cultures, Lamb Rennet, Onion, Carrot, Celery, White Pepper Powder, Cheese, Milk, Salt, Rennet, Preservative (Lysozyme from egg), Anti-caking agent (E460), Butter, Chinese Garlic, Pasturised Milk, Salt, Rennet, Lactic Ferments, Eggs, Cows Milk, Salt, Microbial Rennet, Lactic culture P, Roqueforti, Gelatine, Cream, Wheat Flour, Yeast, Salt, Palm oil, Glucose, Yeast Food (contains bulking agent E510), Acidity regulator (E516)",,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES
"Polenta chips, porcini garlic aioli, ricotta salata","Butter, Salt, Water, Polenta, Cheese, Milk, Salt, Rennet, Preservative (Lysozyme from egg), Anti-caking agent (E460), Cream, Whey, Milk, Salt, Acetic Acid, Potassium Sorbate, Porcini Mushroom, Garlic, Olive Oil, Red Wine Vinegar, Grapes, Brandy, Water, Mustard Seeds, Vinegar, Salt, Sunflower Oil, Lemon Juice",,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES
"Pane crocante, whipped ricotta, lemon","Onion, Basil, Oregano, Garlic, Olive Oil, Salt, Black Pepper, Thyme, Red Wine Vinegar, Caster Sugar, Red peppers, Water, Vinegar, Firming agent (Calcium Chloride), Peeled tomatoes, Tomato Juice, Citric acid, Capers, Ciabatta (Attn?), Cream, Milk, Thickeners (1442, 407), Acid (330)",,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
"Fish crudo, grated tomato, EVOO, baby basil","Tomatoes, Micro Basil, Market Fish, Lemon Juice, Whole Peppercorn, Chilli Flakes, White Balsamic Vinegar, Sea Salt, Extra Virgin Olive Oil",,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
"Rocket salad, chicory, Sicilian olives, balsamic","Sea Salt, Green Pitted Olives, Salt, Acidity Regulators (E270, E330), Rocket Lettuce, Frizze Lettuce, White Vinegar, Grape Must, Caramel Colour E150D, Preservatives (E224), Sulphites, Sunflower Oil, Black Pepper",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES
"Beetroot panzanella salad, olives, ricotta","Capers, Sea Salt, Red Onions, Basil, Kalamata Olives, Extra Virgin Olive Oil, Red Wine Vinegar, Whey, Milk, Salt, Acetic Acid, Potassium Sorbate, Oregano Dry, Beetroot, Thyme, Water, Salt, Flour, Yeast, Olive oil",,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES
"Zucchini, stracciatella, chilli oil, pepitas","Zucchini, Sea Salt, Black Pepper, Extra Virgin Olive Oil, Sunflower Oil, Chilli Flakes, Garlic Cloves, Cow milk cream, Milk protein, Modified maize starch E1422, Carboxy methyl cellulose E466, Carrageenan E407, Locust bean gum E410, Lactic acid esters of mono- and diglycerides of fatty acids E472b, Mono- and diglycerides of fatty acids E471, Pasteurized Milk, Salt, Microbial rennet, Lactic cultures, Lactic acid E270, Pumpkin Seeds, Caster Sugar",,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
"San Marzano tomato, mozzarella, basil","Flour, Sheeps Milk, Salt, Cultures, Lamb Rennet, Whey, Cheese, Milk, Rennet, Preservative (Lysozyme from egg), Anti-caking agent (E460), Pasturised Milk, Salt, Rennet, Lactic Ferments, Basil, Sea Salt, Extra Virgin Olive Oil, Flour, Salt, Yeast, Canola Oil, Cherry Tomatoes",,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
